kpi_id,kpi_raw_names,kpi_canonical_name,theme,value_type,unit,framework_ref,source_page_hint,ground_truth_2024,dashboard_section,scoring_weight,notes
C001,"scope 1 emissions,scope 1,direct emissions,gross scope 1,owned facility emissions,operational emissions GHG",Scope 1 Emissions,climate,numeric,tCO2e,GRI 305-1,23,57390,Climate Grid,high,Confirmed 3x across batches 1/2/4.
C002,"scope 2 emissions,scope 2,market-based emissions,indirect emissions,energy indirect GHG,renewable electricity purchased",Scope 2 Emissions (Market-Based),climate,numeric,tCO2e,GRI 305-2,23,12120,Climate Grid,high,Market-based. 94% reduction FY19-FY24. Confirmed 3x.
C003,"scope 3 total,total scope 3,all scope 3,value chain emissions,supply chain emissions total,scope 3 combined",Scope 3 Emissions Total,climate,numeric,tCO2e,GRI 305-3,23,8196965,Climate Grid,high,Confirmed batch 2. Categories sum = 8196964 (1 tCO2e rounding).
C004,"purchased goods services,category 1,cat 1 scope 3,upstream supply chain emissions,materials GHG",Scope 3 Cat 1 - Purchased Goods,climate,numeric,tCO2e,GRI 305-3,25,6952112,Climate Grid,medium,84% of total Scope 3. Manufacturing supply chain.
C005,"upstream transportation distribution,category 4,cat 4 scope 3,logistics emissions,freight GHG transportation",Scope 3 Cat 4 - Upstream Transport,climate,numeric,tCO2e,GRI 305-3,25,552710,Climate Grid,medium,
C006,"end of life treatment,category 12,cat 12 scope 3,product disposal emissions,product end of life GHG",Scope 3 Cat 12 - End of Life,climate,numeric,tCO2e,GRI 305-3,25,511400,Climate Grid,low,
C007,"downstream transportation distribution,category 9,cat 9 scope 3,outbound logistics emissions",Scope 3 Cat 9 - Downstream Transport,climate,numeric,tCO2e,GRI 305-3,25,54444,Climate Grid,low,
C008,"employee commuting,category 7,cat 7 scope 3,commute emissions,staff travel GHG",Scope 3 Cat 7 - Employee Commuting,climate,numeric,tCO2e,GRI 305-3,25,72625,Climate Grid,low,
C009,"business travel,category 6,cat 6 scope 3,corporate travel emissions,air travel GHG,flight emissions",Scope 3 Cat 6 - Business Travel,climate,numeric,tCO2e,GRI 305-3,25,39928,Climate Grid,low,
C010,"fuel energy related activities,category 3,cat 3 scope 3,upstream energy emissions,energy use indirect",Scope 3 Cat 3 - Fuel & Energy,climate,numeric,tCO2e,GRI 305-3,25,11984,Climate Grid,low,
C011,"waste generated operations,category 5,cat 5 scope 3,operational waste emissions,waste GHG",Scope 3 Cat 5 - Waste in Operations,climate,numeric,tCO2e,GRI 305-3,25,1761,Climate Grid,low,
C012,"emissions target active,GHG reduction target,carbon reduction commitment,climate target reporting year",Emissions Target Active,climate,boolean,yes/no,GRI 305,5,Yes,Climate Governance,high,
C013,"science based target,SBT,SBTi,science-based targets initiative,1.5 degree target,Paris aligned target",Science-Based Target Exists,climate,boolean,yes/no,GRI 305,23,Yes,Climate Governance,high,
C014,"emissions reduction progress,target achieved,reduction vs baseline,GHG progress,scope 1 2 reduction percent,scope 3 reduction percent",Emissions Reduction Progress vs Target,climate,subjective,H/M/L,GRI 305,12,MEDIUM,Climate Governance,high,S1+2: 114% exceeded. S3: 37% lagging. Overall=MEDIUM.
C015,"renewable electricity,renewable energy percent,clean energy,solar wind power,100 percent renewable,renewable energy target",Renewable Energy Percentage,climate,numeric,%,GRI 302-1,12,96,Climate Grid,medium,
C016,"total energy consumption,energy use,energy intensity,total energy,gigajoules consumed,energy footprint",Total Energy Consumption,climate,numeric,GJ,GRI 302-1,AWAITING,AWAITING,Climate Grid,medium,Not found in batches 1-4.
C017,"total GHG emissions,total greenhouse gas,all scopes combined,scope 1 2 3 total,combined emissions all scopes",Total GHG Emissions All Scopes,climate,numeric,tCO2e,GRI 305,23,8266475,Climate Grid,high,57390+12120+8196965.
C018,"base year emissions,baseline GHG,FY2015 emissions,base year total,historical baseline",GHG Base Year Total (FY2015),climate,numeric,tCO2e,GRI 305-3,23,9483677,Climate Grid,medium,FY2015 baseline.
C019,"1.5 degree aligned,paris aligned,1.5C target,net zero 1.5,science based 1.5 degrees",1.5°C Target Alignment,climate,boolean,yes/no,SBTi,5,Yes,Climate Governance,high,
C020,"target status,achieved target,in progress target,on track emissions,scope 1 2 achieved scope 3",Emissions Target Achievement Status,climate,subjective,H/M/L,GRI 305,12,MEDIUM,Climate Governance,high,
C021,"scope 2 location based,scope 2 location,location based emissions,grid electricity emissions,scope 2 grid",Scope 2 Emissions Location-Based,climate,numeric,tCO2e,GRI 305-2,17,211322,Climate Grid,medium,NEW batch 4 row 78. Delta vs market-based (12120) = 199202 tCO2e avoided via renewable energy. Powerful story.
F001,"deforestation monitoring,deforestation estimated,natural ecosystem conversion,forest monitoring,land conversion tracked",Deforestation Monitoring,biodiversity,boolean,yes/no,TNFD,AWAITING,Not Disclosed,Biodiversity Grid,medium,Nike: monitoring not publicly quantified.
F002,"no deforestation policy,deforestation free commitment,zero deforestation,forest policy,DCF policy,deforestation conversion free",No-Deforestation Policy Exists,biodiversity,boolean,yes/no,TNFD,5,Yes,Biodiversity Grid,medium,UPDATED batch 4 row 64. Formal DCF policy confirmed. Was incorrectly marked Not Disclosed.
F003,"deforestation programme,deforestation implementation,deforestation action plan,conversion free programme",Deforestation Programme Active,biodiversity,boolean,yes/no,TNFD,5,Yes,Biodiversity Grid,medium,UPDATED batch 4 row 65. Active deforestation programme via traceability and certification confirmed.
F004,"landscape initiative,jurisdictional program,shared land use goals,forest landscape initiative",Landscape/Jurisdictional Initiatives,biodiversity,boolean,yes/no,TNFD,AWAITING,Not Disclosed,Biodiversity Grid,low,Nike: not disclosed.
F005,"sustainable commodities,forest friendly sourcing,sustainable palm oil,deforestation free supply chain,raw materials standards",Sustainable Commodity Sourcing,biodiversity,subjective,H/M/L,TNFD,5,HIGH,Biodiversity Grid,medium,UPGRADED batch 4. Formal DCF policy + FSC certs + active programmes = HIGH. Was incorrectly Not Disclosed.
F006,"raw material traceability,leather traceability,cattle traceability,material origin tracking,supply chain traceability leather",Raw Material Traceability (Leather),biodiversity,boolean,yes/no,TNFD,5,Yes,Biodiversity Grid,medium,Nike requires traceable leather. Confirmed batch 3.
F007,"timber traceability,fibre traceability,wood product tracking,forest material origin,timber origin",Timber/Fibre Traceability,biodiversity,subjective,H/M/L,TNFD,5,LOW,Biodiversity Grid,low,Certification-based only. No detailed timber metrics disclosed.
